osan_id,paakohde_tyyppi_id,paatyyppi,alakohde_tyyppi_id,alatyyppi,materiaali_id,materiaali,rakenteellinen_kunnossapito,talvikunnossapito,tkp_kiireellisyys_lk,viher_hoitoluokkka_id,laatutaso_id,yllapidon_taso,yllapidon_taso_selite,puhtaanapito,puhtaanapito_vyohyke,aluetieto,alueen_nimi,alueen_kayttotarkoitus,viheralueen_id,viheralueen_nro,katualueen_id,katualueen_nro,kadunpitopaatos_pvm,osan_nro,osan_pituus,osan_leveys,osan_pinta_ala,paivitetty_pvm,datanomistaja,paivitetty_tietopalveluun,fid,x,y
249033,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Hiihtomäentie,Kokoojakatu tai -tie,,,7496,5483,1958-11-25,1041,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,72738,25501727.8725,6675834.4121
249048,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Hiihtomäentie,Kokoojakatu tai -tie,,,7496,5483,1958-11-25,1056,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,72749,25501748.3378,6676109.3181
249049,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Hiihtomäentie,Kokoojakatu tai -tie,,,7496,5483,1958-11-25,1057,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,72750,25501757.194,6676128.0515
249063,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Itä,Kaupunkiympäristö Itä,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,Kaupunkiympäristö Itä,3,Katu,Hiihtomäentie,Kokoojakatu tai -tie,,,7496,5483,1958-11-25,1071,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,72764,25501737.4136,6676538.976
249157,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,"MÄENLASKIJANPUISTO ""SUOPUISTO""",Leikkipaikka,165801,7331,,,,2,0,0,0,2010-05-04,Helsinki/YLRE,2022-01-21,72850,25501674.8409,6675996.1836
249159,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,"MÄENLASKIJANPUISTO ""SUOPUISTO""",Leikkipaikka,165801,7331,,,,5,0,0,0,2010-05-04,Helsinki/YLRE,2022-01-21,72852,25501687.4337,6675986.8039
249163,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,"MÄENLASKIJANPUISTO ""SUOPUISTO""",Leikkipaikka,65861,3015,,,,107,0,0,0,2011-02-07,Helsinki/YLRE,2022-01-21,72856,25501662.5331,6676023.8038
249208,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1658,Keräysastia - Muu,Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,101,,C1,Lähimetsä,Ei toimenpiteitä,5,Viher,Saunalahden / Fastholman selännemetsä,Asemakaavoitettu viheralue,65741,3009,,,,112,0,0,0,2018-03-27,Helsinki/YLRE,2022-01-21,72888,25501385.5001,6675914.4673
249218,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1658,Keräysastia - Muu,Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,1601,,B3,Maisemaniitty ja laidunalue,Ei toimenpiteitä,5,Viher,Saunalahden / Fastholman selännemetsä,Asemakaavoitettu viheralue,65741,3009,,,,122,0,0,0,2018-03-27,Helsinki/YLRE,2022-01-21,72898,25501392.5366,6676222.5868
249243,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Itä,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,5,Viher,Saunalahden / Fastholman selännemetsä,Asemakaavoitettu viheralue,65741,3009,,,,147,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,72923,25501626.6792,6676145.0255
